star name,star M [M_sun],star Teff [K],star R [R_sun],star D [pc],star magk ,planet name,planet P [day],planet Teff [K],planet a [m],planet R [R_earth],planet albedo,planet M [M_earth],planet MMW [g/mol],planet T14 [s],planet b,planet Gamma,planet Nobs,planet ra,planet dec,planet tier,planet fm_type,planet press_range,planet T_model,planet fill_gases,planet fill_ratios,planet trace_gases,planet trace_model,planet CIA,planet contribs,planet fit_T,planet fit_P,planet fit_Ch,planet fit_Co
GJ 1214,0.15,3026,0.218,12.975,8.782,GJ 1214 b,1.58040469,624.4944289,2110768508,2.700543473,0.1,6.360354842,2.3,2703.839004,0.5,1,2,258.829001,4.96390445,tier2,transmission,1e-4:1e5,isothermal,H2:He,0.2,H2O:CH4,Const:TwoL,H2-H2:H2-He,Rayleigh,TRUE,FALSE,TRUE,FALSE
HD 209458,1.175333333,6086,1.179666667,47.45666667,6.308,HD 209458 b,3.52473906,1613.41078,7156537947,15.17975462,0.038,226.0734539,2.3,9624.538897,0.5,1,1,330.7932789,18.8843817,tier2,transmission,1e-4:1e6,isothermal,H2:He,0.167,H2O:CH4,Const:Const,H2-H2:H2-He:N2-N2,Rayleigh:SimpleClouds,TRUE,TRUE,TRUE,TRUE
HD 219134,0.81,4699,0.7785,6.548666667,3.261,HD 219134 b,3.092988,1038.750149,5793999804,1.569513472,0.3,4.506637642,2.3,3030.098936,0.9245,1,1,348.3207867,57.16834367,tier2,transmission,1e-4:1e5,guillot,N2:H2O,0.432,H2CO:H2O:CH4,Const:TwoL,H2-H2:H2-He:N2-N2,Rayleigh,TRUE,FALSE,TRUE,FALSE
