spectral_center,spectral_size,spatial_center,spatial_size,aperture_shape,aperture_size
12.399999999999995,1.3555555555555507,16.0,2.800000000000002,rectangular,3.795555555555545
13.772499999999987,1.3894444444444343,16.0,2.950000000000003,rectangular,4.098861111111085
15.179312499999988,1.424180555555541,16.0,3.050000000000003,rectangular,4.343750694444404
16.62129531249997,1.4597850694444503,16.0,3.2000000000000037,rectangular,4.671312222222246
18.099327695312468,1.4962796961805402,16.0,3.2500000000000036,rectangular,4.862909012586761
19.614310887695286,1.5336866885850533,16.0,3.300000000000004,rectangular,5.061166072330682
21.16716865988766,1.5720288557997009,16.0,3.3000000000000034,rectangular,5.187695224139018
22.75884787638485,1.6113295771946703,16.0,3.3000000000000034,rectangular,5.317387604742417
24.39031907329446,1.65161281662456,16.0,3.300000000000004,rectangular,5.450322294861055
26.062577050126837,1.6929031370401795,16.0,3.300000000000004,rectangular,5.586580352232598
27.776641476379996,1.735225715466175,16.0,3.300000000000004,rectangular,5.726244861038384
29.533557513289498,1.7786063583528104,16.0,3.300000000000004,rectangular,5.869400982564281
31.33439645112172,1.8230715173116323,16.0,3.3000000000000034,rectangular,6.0161360071283925
33.180256362399774,1.86864830524447,16.0,3.3000000000000034,rectangular,6.166539407306757
35.07226277145976,1.9153645128755414,16.0,3.4000000000000035,rectangular,6.512239343776847
37.01156934074625,1.9632486256974317,16.0,3.4500000000000037,rectangular,6.773207758656147
38.99935857426489,2.012329841339877,16.0,3.5000000000000036,rectangular,7.043154444689577
41.03684253862151,2.062638087373365,16.0,3.6000000000000036,rectangular,7.425497114544122
43.125263602087045,2.1142040395577055,16.0,3.750000000000004,rectangular,7.928265148341405
45.26589519213922,2.167059140546634,16.0,3.9500000000000046,rectangular,8.559883605159214
47.4600425719427,2.22123561906033,16.0,4.100000000000005,rectangular,9.107066038147364
49.709043636241255,2.276766509536813,16.0,4.300000000000005,rectangular,9.790095991008307
52.01426972714727,2.3336856722752444,16.0,4.4500000000000055,rectangular,10.384901241624851
54.37712647032595,2.3920278140821054,16.0,4.550000000000006,rectangular,10.883726554073593
56.79905463208409,2.4518285094341863,16.0,4.600000000000006,rectangular,11.278411143397271
59.281530997886186,2.513124222169999,16.0,4.700000000000006,rectangular,11.811683844199012
61.82606927283333,2.575952327724295,16.0,4.750000000000006,rectangular,12.235773556690416
64.43422100465415,2.640351135917385,16.0,4.800000000000006,rectangular,12.673685452403463
67.1075765297705,2.7063599143153,16.0,4.800000000000006,rectangular,12.990527588713455
69.84776594301474,2.77401891217319,16.0,4.800000000000006,rectangular,13.31529077843133
72.65646009159012,2.8433693849775636,16.0,4.800000000000006,rectangular,13.648173047892323
75.53537159387986,2.914453619601929,16.0,4.800000000000006,rectangular,13.989377374089276
78.48625588372683,2.987314960091993,16.0,4.800000000000006,rectangular,14.339111808441585
81.51091228082,3.0619978340942993,16.0,4.800000000000006,rectangular,14.697589603652656
84.61118508784047,3.138547779946677,16.0,4.800000000000006,rectangular,15.065029343744069
87.78896471503647,3.2170114744453286,16.0,4.800000000000006,rectangular,15.441655077337597
91.04618883291238,3.2974367613064715,16.0,4.900000000000007,rectangular,16.15744013040173
94.38484355373518,3.3798726803391332,16.0,4.950000000000006,rectangular,16.73036976767873
97.80696464257854,3.4643694973475903,16.0,5.000000000000007,rectangular,17.321847486737976
101.31463875864297,3.5509787347813244,16.0,5.250000000000007,rectangular,18.642638357601978
104.91000472760905,3.639753203150846,16.0,5.450000000000007,rectangular,19.836654957172136
108.59525484579926,3.7307470332295765,16.0,5.600000000000008,rectangular,20.892183386085655
112.37263621694423,3.8240157090603475,16.0,5.800000000000008,rectangular,22.179291112550047
116.24445212236783,3.919616101786872,16.0,5.950000000000008,rectangular,23.321715805631918
120.21306342542702,4.017606504331496,16.0,6.050000000000009,rectangular,24.306519351205587
124.28089001106267,4.11804666693979,16.0,6.200000000000009,rectangular,25.531889335026737
128.4504122613392,4.220997833613296,16.0,6.250000000000009,rectangular,26.38123646008314
132.7241725678727,4.326522779453626,16.0,6.30000000000001,rectangular,27.257093510557883
137.1047768820695,4.434685848939978,16.0,6.30000000000001,rectangular,27.938520848321904
141.59489630412122,4.545552995163462,16.0,6.200000000000009,rectangular,28.182428570013503
146.1972687117242,4.659191820042537,16.0,6.200000000000009,rectangular,28.88698928426377
