# %ECSV 1.0
# ---
# datatype:
# - {name: Wavelength, unit: um, datatype: float64}
# - {name: rp/rs, datatype: float64}
# schema: astropy-2.0
Wavelength rp/rs
10.0 0.12526129428459168
9.998628375482213 0.12621513366531917
9.997256750964425 0.12583927536173806
9.995885126446636 0.125895645420326
9.994513501928848 0.12562021269504678
9.993141877411059 0.1252670494123811
9.991770252893271 0.12534607245169158
9.990398628375482 0.1258323032402851
9.989027003857695 0.1265781972997622
9.987655379339907 0.12553705746305174
9.986283754822118 0.12565143599389703
9.98491213030433 0.12574910311919663
9.983540505786541 0.1255504320286212
9.982168881268754 0.12619301766974608
9.980797256750964 0.12583403236616958
9.979425632233177 0.1251395302088835
9.97805400771539 0.12508257003169448
9.9766823831976 0.1256074939597954
9.975310758679813 0.12632366396203884
9.973939134162023 0.12528065605295566
9.972567509644236 0.12563274662319843
9.971195885126447 0.12719546648833163
9.96982426060866 0.12569353538798617
9.968452636090872 0.12556102581596348
9.967081011573082 0.12546610097331673
9.965709387055295 0.12613789613433
9.964337762537506 0.12524573769460526
9.962966138019718 0.12573975781029884
9.961594513501929 0.1255617753811816
9.960222888984141 0.12601520968215954
9.958851264466354 0.12618896229018645
9.957479639948565 0.12537694616950687
9.956108015430777 0.12516574072364386
9.954736390912988 0.12539243728096175
9.9533647663952 0.1253464092059527
9.951993141877411 0.12575723164935754
9.950621517359624 0.12527446585185534
9.949249892841836 0.12549918667752355
9.947878268324047 0.12561130372716212
9.94650664380626 0.12611292536246518
9.94513501928847 0.1259583527745321
9.943763394770682 0.1254083345778402
9.942391770252893 0.12492920747725517
9.941020145735106 0.12551755171884607
9.939648521217318 0.12535444289716452
9.938276896699529 0.1254651295602291
9.936905272181741 0.1252102323810839
9.935533647663952 0.12554414405060338
9.934162023146165 0.1251123733420527
9.932790398628375 0.12565433073580312
9.931418774110588 0.12582673548564796
9.9300471495928 0.12504900534610078
9.928675525075011 0.12572775929692723
9.927303900557224 0.12617985712306432
9.925932276039434 0.1262884633303606
9.924560651521647 0.1255402349722111
9.923189027003858 0.12520996154131123
9.92181740248607 0.12510249345318813
9.920445777968283 0.12506383873837362
9.919074153450493 0.12539531682834446
9.917702528932706 0.12521027244878094
9.916330904414917 0.12516581438733412
9.914959279897129 0.12577889940941991
9.91358765537934 0.12497274730881645
9.912216030861552 0.12558363017355154
9.910844406343765 0.12576106514027294
9.909472781825976 0.12573848152341632
9.908101157308188 0.1258328476198484
9.906729532790399 0.12525462607062368
9.905357908272611 0.12555396780661066
9.903986283754822 0.125157619469982
9.902614659237035 0.1250868190900157
9.901243034719247 0.12544006729023605
9.899871410201458 0.12534500802941898
9.89849978568367 0.12519457547014878
9.897128161165881 0.1255112396283452
9.895756536648094 0.12617499357886616
9.894384912130304 0.12682614870282918
9.893013287612517 0.1258188652741721
9.89164166309473 0.12560637425728807
9.89027003857694 0.12624721581487242
9.888898414059152 0.12761354860765023
9.887526789541363 0.12522299039926726
9.886155165023576 0.1250956067729921
9.884783540505786 0.12640108773277145
9.883411915987999 0.12516119302140052
9.882040291470211 0.1251880041073962
9.880668666952422 0.1257075694766764
9.879297042434635 0.12599204830823826
9.877925417916845 0.12545441388911627
9.876553793399058 0.12550816796238035
9.875182168881269 0.12611844938359973
9.873810544363481 0.12543182787591742
9.872438919845694 0.12512636376288394
9.871067295327904 0.125547317096345
9.869695670810117 0.1260630429649526
9.868324046292328 0.1261561823700557
9.86695242177454 0.12525713388441873
9.86558079725675 0.1254737550523353
9.864209172738963 0.12524000602355775
9.862837548221176 0.12511472358458564
9.861465923703387 0.1252590260359731
9.860094299185599 0.12507640644941523
9.85872267466781 0.12543751557232743
9.857351050150022 0.12568705318097328
9.855979425632233 0.12609901850826796
9.854607801114446 0.12523533913132578
9.853236176596658 0.12547165499378404
9.851864552078869 0.12494026189353853
9.850492927561081 0.12550184591121524
9.849121303043292 0.1263685553402949
9.847749678525505 0.1251466649273062
9.846378054007715 0.12511632421432095
9.845006429489928 0.12511032702661454
9.84363480497214 0.1252003354659216
9.842263180454351 0.12596768044448708
9.840891555936564 0.12561792000513566
9.839519931418774 0.12511501315943652
9.838148306900987 0.1253831268788344
9.836776682383197 0.12524243307733035
9.83540505786541 0.1266456327191492
9.834033433347622 0.12572311086404897
9.832661808829833 0.1259987336116308
9.831290184312046 0.1258730874029747
9.829918559794256 0.12578098122164924
9.828546935276469 0.12496680432985757
9.82717531075868 0.1249803368738601
9.825803686240892 0.12577640161184753
9.824432061723105 0.12624847357780583
9.823060437205315 0.12519102029388576
9.821688812687528 0.1259307322834431
9.820317188169739 0.1254317998784573
9.818945563651951 0.1251361572252542
9.817573939134164 0.12547933050047771
9.816202314616374 0.1257359691579378
9.814830690098587 0.12550856155927087
9.813459065580798 0.12583915933585468
9.81208744106301 0.1264433462437037
9.81071581654522 0.12513812988583115
9.809344192027433 0.1253885360585777
9.807972567509646 0.12507279816178132
9.806600942991857 0.1251909582562024
9.805229318474069 0.12533526729319924
9.80385769395628 0.1254164531164658
9.802486069438492 0.1262627351746276
9.801114444920703 0.12618776706298535
9.799742820402916 0.12471119032754736
9.798371195885128 0.12480693648678863
9.796999571367339 0.12521857815738513
9.795627946849551 0.12536698906167082
9.794256322331762 0.12591577722303698
9.792884697813975 0.1262044183808063
9.791513073296185 0.1255503498825531
9.790141448778398 0.12554379424016676
9.78876982426061 0.12547342884423826
9.787398199742821 0.12508187480218017
9.786026575225033 0.12504564824043285
9.784654950707244 0.1259179046190144
9.783283326189457 0.12538380762466841
9.781911701671667 0.12498489254388537
